STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,26.5,2026-02-08,23:45:00,88.0,2026-02-08,23:45:00,2026-02-09 00:02:01,29.75,Zone 4,61.5,Zone 5,29.8,Zone 4,36.7,Zone 5,36.7,Zone 4,50.1,Zone 5,54.2,Zone 5,54.8,Zone 5,61.5,Zone 5,58.2,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,26.5,2026-02-08,23:45:00,80.0,2026-02-08,23:45:00,2026-02-09 00:02:01,28.950000000000045,Zone 4,59.8,Zone 5,28.9,Zone 4,31.3,Zone 4,35.3,Zone 4,47.4,Zone 5,45.7,Zone 5,52.4,Zone 5,59.8,Zone 5,56.2,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,29.9,2026-02-08,23:45:00,90.0,2026-02-08,23:45:00,2026-02-09 00:02:01,44.05000000000001,Zone 5,67.9,Zone 5,45.4,Zone 5,55.5,Zone 5,61.6,Zone 5,60.0,Zone 5,65.4,Zone 5,63.2,Zone 5,67.9,Zone 5,65.5,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,20.7,2026-02-08,23:45:00,82.0,2026-02-08,23:45:00,2026-02-09 00:02:01,21.55000000000001,Zone 3,35.7,Zone 4,21.3,Zone 3,21.3,Zone 4,26.2,Zone 4,26.4,Zone 4,31.1,Zone 4,31.2,Zone 4,35.7,Zone 4,43.9,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,20.4,2026-02-08,23:45:00,99.0,2026-02-08,23:45:00,2026-02-09 00:02:01,21.850000000000023,Zone 3,39.0,Zone 5,22.0,Zone 3,22.2,Zone 4,27.0,Zone 4,27.9,Zone 4,32.4,Zone 4,39.3,Zone 5,39.0,Zone 5,49.7,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,21.1,2026-02-08,23:45:00,98.0,2026-02-08,23:45:00,2026-02-09 00:02:01,22.650000000000034,Zone 3,41.2,Zone 5,22.5,Zone 3,22.9,Zone 4,27.6,Zone 4,28.7,Zone 4,33.1,Zone 4,41.9,Zone 5,41.2,Zone 5,50.4,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,24.1,2026-02-08,23:45:00,88.0,2026-02-08,23:45:00,2026-02-09 00:02:01,25.650000000000034,Zone 4,53.1,Zone 5,25.5,Zone 4,27.3,Zone 4,31.6,Zone 4,37.2,Zone 5,37.3,Zone 4,49.5,Zone 5,53.1,Zone 5,53.7,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,12.2,2026-02-08,23:30:00,87.0,2026-02-08,23:30:00,2026-02-09 00:02:01,11.75,Zone 2,26.4,Zone 4,11.6,Zone 2,11.7,Zone 2,19.1,Zone 3,17.0,Zone 3,23.4,Zone 3,21.2,Zone 4,26.4,Zone 4,25.2,Zone 4
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,12.6,2026-02-08,23:45:00,89.0,2026-02-08,23:45:00,2026-02-09 00:02:01,12.25,Zone 2,26.9,Zone 4,12.1,Zone 2,12.2,Zone 2,19.6,Zone 3,17.5,Zone 3,23.7,Zone 3,21.7,Zone 4,26.9,Zone 4,25.8,Zone 4
Andhra Pradesh,Anakapalli,Yellamanchilli Vskp,18.5,2026-02-08,23:45:00,100.0,2026-02-08,23:45:00,2026-02-09 00:02:01,19.650000000000034,Zone 3,34.3,Zone 4,19.7,Zone 3,19.4,Zone 4,24.8,Zone 3,24.8,Zone 4,29.5,Zone 4,29.8,Zone 4,34.3,Zone 4,43.3,Zone 5
